"Material","Description"
1,"Not specified"
2,"Not applicable"
3,"Other"
4,"Asphalt"
5,"Concrete"
6,"Concrete blocks"
7,"Brick"
8,"Refractory brick"
9,"Bricks and concrete blocks"
10,"Cement roofing tile"
11,"Acoustic tiles"
12,"Coal ash"
13,"Ceramic"
14,"Cement"
15,"Various materials-2 (containing concrete)"
16,"Various materials-3 (containing cement)"
17,"Various materials-1 (containing sand)"
18,"Granite"
19,"Gypsum and jointing material"
20,"Marble"
21,"Mortar"
22,"Stone"
23,"Sand"
24,"Earth"
