"Task","Description"
1,"Not specified"
2,"Not applicable"
3,"Other tasks"
4,"Spraying"
5,"Bush hammering concrete"
6,"Breaking pieces of masonry"
7,"Traffic control"
8,"Diamond cutting of concrete or asphalt"
9,"Scaffold assembly/dismantling/cleaning"
10,"Abrasive blasting (Sand blasting)"
11,"Other demolition"
12,"Demolition with heavy equipment"
13,"Manual moving of small rocks, soil, etc."
14,"Mechanized moving of rocks, soil, etc"
15,"Tunnel boring"
16,"Provides alignments, construction axes, elevations…"
17,"Installation of acoustic ceiling tiles"
18,"Manual or mechanized mixing of cements and mortars"
19,"Handling of dry mortar"
20,"Tuck point grinding"
21,"Surface grinding"
22,"Installation of concrete formwork"
23,"Cleaning"
24,"Observation/Supervision"
25,"Drilling masonry"
26,"Ground and stone drilling"
27,"Sanding"
28,"Installation and attachment of roof parts"
29,"Concrete preparation and finishing"
30,"Shotcreting"
31,"Sawing – Other"
32,"Sawing masonry"
33,"Sawing roofing"
34,"Support to the bricklayer-mason"
35,"Multiple tasks-4 (Other masonry-related tasks)"
36,"Multiple tasks-3 (Breaking masonry and other tasks)"
37,"Multiple tasks-2 (Grinding masonry and other tasks)"
38,"Multiple tasks-1 (Sawing masonry and other tasks)"
39,"Manual stone cutting"
40,"Filling joints of pieces of masonry"
41,"Industrial and commercial work - Other"
42,"Road work - Heavy equipment operation"
43,"Road work - Other"
44,"Electrical maintenance work"
45,"Mechanical maintenance work"
